epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,172.624,0.88757,3.62687,1.41597,0.37789,0.39441,0.33835,0.23799,0.96674,2.37816,1.50473,0.00998179,0.00332726,0.00998179,0.00332726,0.00998179,0.00332726,0.00998179,0.00332726
2,315.119,0.86602,2.1954,1.37561,0.43239,0.35689,0.34052,0.22783,1.08646,2.54024,1.66012,0.019784,0.00659466,0.019784,0.00659466,0.019784,0.00659466,0.019784,0.00659466
3,428.607,0.94773,2.23365,1.42589,0.35581,0.31048,0.24335,0.15193,1.28575,2.82907,1.86209,0.0293881,0.00979605,0.0293881,0.00979605,0.0293881,0.00979605,0.0293881,0.00979605
4,541.408,1.00157,2.35067,1.46945,0.47338,0.39685,0.39121,0.25785,1.16373,2.18128,1.72824,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,654.089,0.94624,2.07052,1.42221,0.526,0.44488,0.46729,0.32903,1.01641,1.93319,1.54835,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,766.835,0.90818,1.8873,1.38975,0.61036,0.51927,0.55955,0.40577,0.9577,1.63874,1.45761,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,878.706,0.87714,1.74664,1.36681,0.6138,0.54546,0.59419,0.43182,0.94468,1.57496,1.44326,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,990.403,0.85489,1.6342,1.35048,0.64982,0.58067,0.63632,0.46857,0.93071,1.43021,1.43605,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1102.57,0.82662,1.55323,1.33519,0.68187,0.5621,0.643,0.48203,0.88616,1.41478,1.39095,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1214.35,0.82031,1.47467,1.3241,0.68678,0.60109,0.66873,0.49928,0.89683,1.32728,1.4134,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1326.18,0.8045,1.40881,1.31296,0.72221,0.61144,0.69022,0.51407,0.89561,1.2616,1.40561,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
